"","search_string","unique_name","approximate_match","score","ott_id","is_synonym","flags","number_matches","gbif_id","orig_tiplabel"
"218","fagus hayatae","Fagus hayatae",FALSE,1,764937,FALSE,"",1,2882373,"Fagus hayatae"
"219","fagus japonica","Fagus japonica",FALSE,1,485001,FALSE,"",1,2882368,"Fagus japonica"
"220","fagus longipetiolata","Fagus longipetiolata",FALSE,1,991641,FALSE,"",1,2882313,"Fagus longipetiolata"
"221","fagus lucida","Fagus lucida",FALSE,1,991648,FALSE,"",1,2882357,"Fagus lucida"
"222","fagus orientalis","Fagus sylvatica subsp. orientalis",FALSE,1,685939,TRUE,"infraspecific",1,2882360,"Fagus orientalis"
"223","fagus sylvatica","Fagus sylvatica",FALSE,1,774712,FALSE,"",1,2882316,"Fagus sylvatica"
"224","fagus taurica","Fagus taurica",FALSE,1,3930068,FALSE,"",1,2882270,"Fagus taurica"
"225","fuscospora alessandri","Fuscospora alessandri",FALSE,1,774709,FALSE,"",1,2874927,"Fuscospora alessandri"
"226","fuscospora fusca","Fuscospora fusca",FALSE,1,316856,FALSE,"",1,2874959,"Fuscospora fusca"
"227","fuscospora gunnii","Fuscospora gunnii",FALSE,1,316861,FALSE,"extinct",1,2874974,"Fuscospora gunnii"
"228","fuscospora solandri","Fuscospora solandri",FALSE,1,811965,FALSE,"",1,3906644,"Fuscospora solandri"
"229","fuscospora truncata","Fuscospora truncata",FALSE,1,811961,FALSE,"",1,2874964,"Fuscospora truncata"
"230","gymnostoma australianum","Gymnostoma australianum",FALSE,1,922608,FALSE,"",1,2891808,"Gymnostoma australianum"
"231","gymnostoma chamaecyparis","Gymnostoma chamaecyparis",FALSE,1,113111,FALSE,"",1,2891794,"Gymnostoma chamaecyparis"
"232","gymnostoma deplancheanum","Gymnostoma deplancheanum",FALSE,1,113109,FALSE,"",1,2891817,"Gymnostoma deplancheanum"
"233","gymnostoma glaucescens","Gymnostoma glaucescens",FALSE,1,113107,FALSE,"",1,2891819,"Gymnostoma glaucescens"
"234","gymnostoma intermedium","Gymnostoma intermedium",FALSE,1,671357,FALSE,"",1,2891800,"Gymnostoma intermedium"
"235","gymnostoma leucodon","Gymnostoma leucodon",FALSE,1,113118,FALSE,"",1,2891813,"Gymnostoma leucodon"
"236","gymnostoma nobile","Gymnostoma nobile",FALSE,1,671342,FALSE,"",1,2891815,"Gymnostoma nobile"
"237","gymnostoma nodiflorum","Gymnostoma nodiflorum",FALSE,1,113114,FALSE,"",1,2891796,"Gymnostoma nodiflorum"
"238","gymnostoma papuanum","Gymnostoma papuanum",FALSE,1,922615,FALSE,"",1,2891811,"Gymnostoma papuanum"
"239","gymnostoma poissonianum","Gymnostoma poissonianum",FALSE,1,113124,FALSE,"",1,2891809,"Gymnostoma poissonianum"
"240","gymnostoma sumatranum","Gymnostoma sumatranum",FALSE,1,113122,FALSE,"",1,2891804,"Gymnostoma sumatranum"
"241","gymnostoma webbianum","Gymnostoma webbianum",FALSE,1,79357,FALSE,"",1,2891806,"Gymnostoma webbianum"
"242","juglans ailanthifolia","Juglans ailanthifolia",FALSE,1,643476,FALSE,"",1,3054366,"Juglans ailanthifolia"
"243","juglans australis","Juglans australis",FALSE,1,70104,FALSE,"",1,4205676,"Juglans australis"
"244","juglans boliviana","Juglans boliviana",FALSE,1,414528,FALSE,"",1,3054351,"Juglans boliviana"
"245","juglans californica","Juglans californica",FALSE,1,981835,FALSE,"",1,3054354,"Juglans californica"
"246","juglans cinerea","Juglans cinerea",FALSE,1,70111,FALSE,"",1,3054352,"Juglans cinerea"
"247","juglans hindsii","Juglans hindsii",FALSE,1,70108,FALSE,"",1,3054373,"Juglans hindsii"
"248","juglans hirsuta","Juglans hirsuta",FALSE,1,828763,FALSE,"",1,4205339,"Juglans hirsuta"
"249","juglans hopeiensis","Juglans hopeiensis",FALSE,1,563846,FALSE,"",1,4205319,"Juglans hopeiensis"
"250","juglans jamaicensis","Juglans jamaicensis",FALSE,1,828765,FALSE,"",1,3054369,"Juglans jamaicensis"
"251","juglans major","Juglans major",FALSE,1,414533,FALSE,"",1,3054359,"Juglans major"
"252","juglans mandshurica","Juglans mandshurica",FALSE,1,70093,FALSE,"",2,4205640,"Juglans mandshurica"
"253","juglans microcarpa","Juglans microcarpa",FALSE,1,70096,FALSE,"",1,3054372,"Juglans microcarpa"
"254","juglans mollis","Juglans mollis",FALSE,1,563844,FALSE,"",1,4205597,"Juglans mollis"
"255","juglans neotropica","Juglans neotropica",FALSE,1,591080,FALSE,"",1,3054364,"Juglans neotropica"
"256","juglans nigra","Juglans nigra",FALSE,1,1072887,FALSE,"",2,3054357,"Juglans nigra"
"257","juglans olanchana","Juglans olanchana",FALSE,1,591076,FALSE,"",1,7310526,"Juglans olanchana"
"258","juglans regia","Juglans regia",FALSE,1,138717,FALSE,"",1,3054368,"Juglans regia"
"259","juglans sigillata","Juglans sigillata",FALSE,1,492312,FALSE,"",1,4205692,"Juglans sigillata"
"260","juglans steyermarkii","Juglans steyermarkii",FALSE,1,1026463,FALSE,"",1,4205657,"Juglans steyermarkii"
"261","juglans venezuelensis","Juglans venezuelensis",FALSE,1,1026516,FALSE,"",1,4205624,"Juglans venezuelensis"
"262","lithocarpus balansae","Lithocarpus balansae",FALSE,1,711429,FALSE,"sibling_higher",1,5332381,"Lithocarpus balansae"
"263","lithocarpus bancanus","Lithocarpus bancanus",FALSE,1,432813,FALSE,"sibling_higher",1,5332334,"Lithocarpus bancanus"
"264","lithocarpus beccarianus","Lithocarpus beccarianus",FALSE,1,456631,FALSE,"sibling_higher",1,5332846,"Lithocarpus beccarianus"
"265","lithocarpus bennettii","Lithocarpus bennettii",FALSE,1,456629,FALSE,"sibling_higher",1,5332822,"Lithocarpus bennettii"
"266","lithocarpus blumeanus","Lithocarpus blumeanus",FALSE,1,456635,FALSE,"sibling_higher",1,5332712,"Lithocarpus blumeanus"
"267","lithocarpus bullatus","Lithocarpus bullatus",FALSE,1,129475,FALSE,"sibling_higher",1,5332794,"Lithocarpus bullatus"
"268","lithocarpus cleistocarpus","Lithocarpus cleistocarpus",FALSE,1,149030,FALSE,"sibling_higher",1,5332507,"Lithocarpus cleistocarpus"
"269","lithocarpus clementianus","Lithocarpus clementianus",FALSE,1,456633,FALSE,"sibling_higher",1,5332428,"Lithocarpus clementianus"
"270","lithocarpus conocarpus","Lithocarpus conocarpus",FALSE,1,456639,FALSE,"sibling_higher",1,5332755,"Lithocarpus conocarpus"
"271","lithocarpus coopertus","Lithocarpus coopertus",FALSE,1,129466,FALSE,"sibling_higher",1,5332692,"Lithocarpus coopertus"
"272","lithocarpus corneus","Lithocarpus corneus",FALSE,1,129471,FALSE,"sibling_higher",1,5332590,"Lithocarpus corneus"
"273","lithocarpus dealbatus","Lithocarpus dealbatus",FALSE,1,877517,FALSE,"sibling_higher",1,8857371,"Lithocarpus dealbatus"
"274","lithocarpus echinifer","Lithocarpus echinifer",FALSE,1,456645,FALSE,"sibling_higher",1,5332759,"Lithocarpus echinifer"
"275","lithocarpus echinophorus","Lithocarpus echinophorus",FALSE,1,877519,FALSE,"sibling_higher",1,5332676,"Lithocarpus echinophorus"
"276","lithocarpus echinotholus","Lithocarpus echinotholus",FALSE,1,877513,FALSE,"sibling_higher",1,5332538,"Lithocarpus echinotholus"
"277","lithocarpus edulis","Lithocarpus edulis",FALSE,1,806231,FALSE,"sibling_higher",1,5332491,"Lithocarpus edulis"
"278","lithocarpus encleisocarpus","Lithocarpus encleisocarpus",FALSE,1,456641,FALSE,"sibling_higher",1,5332728,"Lithocarpus encleisocarpus"
"279","lithocarpus ewyckii","Lithocarpus ewyckii",FALSE,1,877515,FALSE,"sibling_higher",1,5332535,"Lithocarpus ewyckii"
"280","lithocarpus fenestratus","Lithocarpus fenestratus",FALSE,1,877525,FALSE,"sibling_higher",1,5332353,"Lithocarpus fenestratus"
"281","lithocarpus ferrugineus","Lithocarpus ferrugineus",FALSE,1,877527,FALSE,"sibling_higher",1,5332813,"Lithocarpus ferrugineus"
"282","lithocarpus glaber","Lithocarpus glaber",FALSE,1,806235,FALSE,"sibling_higher",1,5332388,"Lithocarpus glaber"
"283","lithocarpus hancei","Lithocarpus hancei",FALSE,1,877523,FALSE,"sibling_higher",1,5332494,"Lithocarpus hancei"
"284","lithocarpus hatusimae","Lithocarpus hatusimae",FALSE,1,877506,FALSE,"sibling_higher",1,5332876,"Lithocarpus hatusimae"
"285","lithocarpus havilandii","Lithocarpus havilandii",FALSE,1,456624,FALSE,"sibling_higher",1,5332861,"Lithocarpus havilandii"
"286","lithocarpus henryi","Lithocarpus henryi",FALSE,1,258123,FALSE,"sibling_higher",1,5332754,"Lithocarpus henryi"
"287","lithocarpus kalkmanii","Lithocarpus kalkmanii",FALSE,1,456622,FALSE,"sibling_higher",1,5332613,"Lithocarpus kalkmanii"
"288","lithocarpus keningauensis","Lithocarpus keningauensis",FALSE,1,1032999,FALSE,"sibling_higher",1,5332433,"Lithocarpus keningauensis"
"289","lithocarpus lampadarius","Lithocarpus lampadarius",FALSE,1,1033001,FALSE,"sibling_higher",1,5332550,"Lithocarpus lampadarius"
"290","lithocarpus laoticus","Lithocarpus laoticus",FALSE,1,711433,FALSE,"sibling_higher",1,5332512,"Lithocarpus laoticus"
"291","lithocarpus leptogyne","Lithocarpus leptogyne",FALSE,1,877508,FALSE,"sibling_higher",1,5332715,"Lithocarpus leptogyne"
"292","lithocarpus litseifolius","Lithocarpus litseifolius",FALSE,1,149033,FALSE,"sibling_higher",1,5332469,"Lithocarpus litseifolius"
"293","lithocarpus lucidus","Lithocarpus lucidus",FALSE,1,1032995,FALSE,"sibling_higher",1,5332710,"Lithocarpus lucidus"
